ID, COS (30)(Mg/ha) ,LATITUD,LONGITUD,año muestro,Referencia,PROVINCIA
Berhon-37.07327-57.00664,51.68,-37.07327,-57.00664,2008,"Berhongaray et al., (2013)",Buenos Aires
Berhon-37.07327-57.00664,65.16,-37.07327,-57.00664,2008,"Berhongaray et al., (2013)",Buenos Aires
Sainz -37.9065-57.6268,100.59,-37.9065,-57.6268,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.912367-57.631167,105.46,-37.912367,-57.631167,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.094683-57.6744,112.1,-38.094683,-57.6744,2011,Sainz Rozas et al. (2011),Buenos Aires
Andriu-38.09253-57.70636,105.63,-38.09253,-57.70636,2012,Andriulo et al. (2012),Buenos Aires
Andriu-38.09253-57.70636,125.31,-38.09253,-57.70636,2012,Andriulo et al. (2012),Buenos Aires
Andriu-38.08292-57.71097,131.32,-38.08292,-57.71097,2012,Andriulo et al. (2012),Buenos Aires
Andriu-38.08575-57.72547,114.03,-38.08575,-57.72547,2012,Andriulo et al. (2012),Buenos Aires
Andriu-38.07992-57.73097,46.97,-38.07992,-57.73097,2012,Andriulo et al. (2012),Buenos Aires
Sainz -38.113317-57.7813,124.68,-38.113317,-57.7813,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.850306-57.846611,80.93,-37.850306,-57.846611,2010,Sainz Rozas et al. (2011),Buenos Aires
Sainz -37.851361-57.84725,112.1,-37.851361,-57.84725,2010,Sainz Rozas et al. (2011),Buenos Aires
Andriu-37.85581-57.85639,51.83,-37.85581,-57.85639,2012,Andriulo et al. (2012),Buenos Aires
Andriu-37.86467-57.85975,117.94,-37.86467,-57.85975,2012,Andriulo et al. (2012),Buenos Aires
Berhon-37.8661-57.86481,70.73,-37.8661,-57.86481,2008,"Berhongaray et al., (2013)",Buenos Aires
Berhon-37.8661-57.86481,68.42,-37.8661,-57.86481,2008,"Berhongaray et al., (2013)",Buenos Aires
Berhon-37.08878-57.88518,62.4,-37.08878,-57.88518,2008,"Berhongaray et al., (2013)",Buenos Aires
Berhon-37.08878-57.88518,57.74,-37.08878,-57.88518,2008,"Berhongaray et al., (2013)",Buenos Aires
Sainz -38.00655-57.9078,110.01,-38.00655,-57.9078,2011,Sainz Rozas et al. (2011),Buenos Aires
Sainz -38.0105-57.91695,93.92,-38.0105,-57.91695,2011,Sainz Rozas et al. (2011),Buenos Aires
