"ID","X","Y","Date","CO_0-30","MaxDepth","Source"
"-23.85651-61.840879",-61.840879,-23.85651,2011-01-01,1.18942861737062,80,""
"-23.86006-61.84256",-61.84256,-23.86006,2011-01-01,0.711623059348863,132,""
"-23.87391-61.84619",-61.84619,-23.87391,2011-01-01,1.5652148888059,80,""
"-23.88307-61.8755",-61.8755,-23.88307,2011-01-01,1.38028620041172,120,""
"-23.89972-61.79123",-61.79123,-23.89972,2011-01-01,0.733884344901391,41,""
"-23.9039-61.88488",-61.88488,-23.9039,2011-01-01,0.742138260880044,100,""
"-23.90885-61.89862",-61.89862,-23.90885,2011-01-01,1.54932664150701,59,""
"-23.91187-61.90078",-61.90078,-23.91187,2011-01-01,0.474363628765588,66,""
"-23.91247-61.773",-61.773,-23.91247,2011-01-01,0.432066182690359,90,""
"-23.94058-61.8739",-61.8739,-23.94058,2011-01-01,0.902887239508992,44,""
"-23.95454-61.85047",-61.85047,-23.95454,2011-01-01,0.431210390084266,48,""
"-23.95943-61.72734",-61.72734,-23.95943,2011-01-01,1.76624304908795,82,""
"-23.96123-61.74446",-61.74446,-23.96123,2011-01-01,0.991811302259343,68,""
"-23.96401-61.90058",-61.90058,-23.96401,2011-01-01,3.13,27,""
"-23.973008-61.872677",-61.872677,-23.973008,2011-01-01,1.37068006947695,72,""
"-23.979417-61.956582",-61.956582,-23.979417,2011-01-01,0.530602337959535,81,""
"-23.98036-61.91354",-61.91354,-23.98036,2011-01-01,1.36196066339288,48,""
"-23.98552-61.91931",-61.91931,-23.98552,2011-01-01,1.10360177227703,48,""
"-23.98725-61.79919",-61.79919,-23.98725,2011-01-01,1.79304289579796,52,""
"-23.989336-61.799221",-61.799221,-23.989336,2011-01-01,0.511908830316881,49,""
"-23.994674-61.848777",-61.848777,-23.994674,2011-01-01,1.2736779946683,80,""
"-24.00294-61.94044",-61.94044,-24.00294,2011-01-01,0.861636955291454,45,""
"-24.00884-61.87813",-61.87813,-24.00884,2011-01-01,0.505595956737723,42,""
"-24.046369-61.839024",-61.839024,-24.046369,2011-01-01,0.353649260977452,54,""
"-28.848964-62.260314",-62.260314,-28.848964,2003-01-01,1.83857142857143,30,""
"-28.849581-62.260628",-62.260628,-28.849581,2003-01-01,1.56912698412698,30,""
"1145",-60.009032,-34.713502,1968-05-20,2.09643137361576,175,"sisINTA"
"1171",-60.053339,-34.736494,1968-05-22,2.04459646405464,188,"sisINTA"
"1172",-60.036869,-34.739024,1968-05-23,2.21763923818242,173,"sisINTA"
"1176",-60.435278,-34.908333,1968-04-23,1.94881566650331,170,"sisINTA"
"1183",-60.239167,-34.819722,1967-10-25,1.81143424539238,175,"sisINTA"
"1191",-60.23577,-31.633018,1972-10-10,1.87190912140204,131,"sisINTA"
"1192",-59.876597,-31.345804,1973-04-10,2.28656650388999,150,"sisINTA"
"1193",-59.610584,-31.450136,1973-04-12,1.74533458209456,104,"sisINTA"
"1195",-59.415956,-31.324498,1973-04-14,2.23386329569781,111,"sisINTA"
"1196",-60.051756,-31.677787,1972-10-11,1.12309621297119,97,"sisINTA"
"1197",-58.107506,-31.368714,1972-06-02,0.20039069455835,125,"sisINTA"
"1198",-59.762611,-31.389848,1973-04-11,1.94957168796896,112,"sisINTA"
"1199",-59.847194,-31.485665,1973-04-12,2.12385604701502,136,"sisINTA"
"1200",-59.782758,-31.387484,1973-04-12,1.37770839990644,120,"sisINTA"
"1201",-59.61881,-31.366425,1973-04-13,1.46553757632891,119,"sisINTA"
"1202",-59.415854,-31.211776,1977-08-29,2.96254107812518,106,"sisINTA"
"1203",-59.384313,-31.244038,1977-08-19,2.87508597844757,125,"sisINTA"
"1204",-59.460602,-31.075674,1985-10-10,2.6504604154738,145,"sisINTA"
"1205",-59.570071,-32.954857,1992-08-25,1.61729799956843,150,"sisINTA"
"1206",-59.544739,-32.921128,1992-08-26,1.37892396733008,140,"sisINTA"
"1207",-59.54496,-32.888102,1992-08-27,2.17848996389833,171,"sisINTA"
"1208",-59.583818,-32.71649,1992-09-23,1.78003565685539,165,"sisINTA"
"1209",-59.645297,-32.819013,1992-09-25,2.43349559726343,118,"sisINTA"
"1210",-59.68025,-32.855654,1992-09-25,2.06216945691729,120,"sisINTA"
"1211",-59.576318,-32.600983,1992-10-07,2.12382335028642,145,"sisINTA"
"1212",-59.693176,-32.786559,1992-10-20,1.64975729465991,138,"sisINTA"
"1213",-59.762167,-32.761948,1992-10-21,0.768825790680769,150,"sisINTA"
"1214",-59.769362,-32.606685,1992-10-22,1.70243090340472,123,"sisINTA"
"1215",-59.272674,-33.102471,1992-10-22,0.626562195588505,95,"sisINTA"
"1216",-59.467098,-33.13198,1992-11-04,1.87811872031051,80,"sisINTA"
"1217",-59.574993,-33.112319,1992-11-04,0.837669932897792,140,"sisINTA"
"1218",-59.173223,-32.837552,1992-11-05,1.35156396966712,130,"sisINTA"
"1219",-59.754988,-32.64059,1992-12-06,1.66940512776892,115,"sisINTA"
"1220",-59.762969,-32.899625,1992-12-17,0.545408958700006,137,"sisINTA"
"1221",-58.102499,-31.659336,1972-11-22,2.65796423810901,116,"sisINTA"
"1222",-58.113021,-31.368462,1972-05-31,0.258141143516086,120,"sisINTA"
"1223",-58.116206,-31.356321,1972-08-24,0.364644189750615,75,"sisINTA"
"1224",-58.114646,-31.356403,1972-06-02,0.830080815253908,99,"sisINTA"
"1225",-59.749693,-32.965768,1993-04-13,2.15312365600207,70,"sisINTA"
"1226",-59.261118,-32.584669,1994-05-31,2.43318031422987,165,"sisINTA"
"1227",-59.361199,-32.14476,1994-06-01,2.06237489098507,115,"sisINTA"
"1228",-59.323153,-32.089463,1994-06-02,1.8743733271779,140,"sisINTA"
"1230",-59.341228,-31.970716,1994-06-16,2.54587946494447,130,"sisINTA"
"1232",-59.266195,-31.934036,1994-06-17,2.57552534086384,132,"sisINTA"
"1234",-59.111722,-32.093497,1994-07-13,2.33045649768066,130,"sisINTA"
"1235",-59.116538,-32.093239,1994-07-14,2.7332924320937,140,"sisINTA"
"1236",-59.0675,-34.869722,1967-03-01,0.902317623441595,130,"sisINTA"
"1237",-58.463762,-31.44775,1974-11-28,1.88541740303034,100,"sisINTA"
"1245",-62.670556,-38.769167,1989-11-01,0.171052925569055,150,"sisINTA"
"1246",-59.551319,-34.864839,1966-11-18,0.712911235298479,97,"sisINTA"
"1247",-59.556355,-34.877088,1966-11-18,1.73906393311787,80,"sisINTA"
"125",-60.7425,-35.435833,1967-03-01,1.76934172868709,162,"sisINTA"
"1252",-59.921111,-35.017222,1966-08-25,2.73824860339956,125,"sisINTA"
"1253",-62.609167,-38.728056,1989-11-01,0.727407136821218,140,"sisINTA"
"1254",-62.358936,-39.093697,1989-11-01,0.518337421335138,110,"sisINTA"
"1255",-62.654372,-38.8988,1989-11-01,0.740935258142402,140,"sisINTA"
"1256",-62.01485,-39.379772,1989-11-01,1.5316117112786,140,"sisINTA"
"1257",-56.612817,-27.4688,1982-03-17,1.83,9,"sisINTA"
"1258",-62.364219,-39.258958,1989-11-01,0.861684662679037,160,"sisINTA"
"1262",-62.781267,-38.939481,1989-11-01,0.560545199187144,125,"sisINTA"
"1264",-59.606934,-34.888701,1966-10-20,2.99803395212649,170,"sisINTA"
"1267",-62.611856,-38.736653,1989-11-01,0.155226928097619,120,"sisINTA"
"1268",-59.746556,-34.836315,1966-10-18,1.28075633968834,125,"sisINTA"
"1269",-62.215928,-38.773747,1989-11-01,0.607173657589447,130,"sisINTA"
"1270",-62.341894,-38.953889,1989-11-01,0.212270276768309,130,"sisINTA"
"1271",-62.168466,-39.314142,1989-11-01,2.79011462916852,140,"sisINTA"
"1272",-62.913303,-38.727758,1989-11-01,2.52839909931775,110,"sisINTA"
"1273",-62.767567,-38.817728,1989-11-01,0.256795203216065,60,"sisINTA"
"1274",-62.477964,-38.893047,1989-11-01,0.157096176821983,150,"sisINTA"
"1282",-62.965144,-38.805656,1989-11-01,0.741123578508553,800,"sisINTA"
"1283",-62.9732,-38.846508,1989-11-01,0.534696519532968,110,"sisINTA"
"1284",-62.976775,-38.706192,1989-11-01,0.524818847521021,130,"sisINTA"
"1285",-62.346186,-38.960406,1989-11-01,1.45150928413225,145,"sisINTA"
"1286",-59.377778,-34.786111,1967-08-11,1.9452873289322,160,"sisINTA"
"1287",-57.997167,-29.763667,1987-06-15,1.32375093451998,84,"sisINTA"
"1288",-62.849639,-38.674772,1989-11-01,0.653237930951266,130,"sisINTA"
"1291",-62.667964,-38.769697,1989-11-01,0.316115922647319,150,"sisINTA"
"1292",-62.736967,-38.969111,1989-11-01,0.839966161576285,100,"sisINTA"
"1293",-62.964592,-38.885731,1989-11-01,0.903731689001838,125,"sisINTA"
"1296",-62.552647,-38.716531,1989-11-01,0.839000052490683,60,"sisINTA"
"1297",-62.684669,-38.862897,1989-11-01,1.15090470908332,96,"sisINTA"
"1299",-62.230444,-39.295722,1989-11-01,0.875885113382492,140,"sisINTA"
"1300",-62.008958,-39.384694,1989-11-01,0.132860753724207,130,"sisINTA"
"1303",-62.970433,-38.788706,1989-11-01,0.818857373499233,140,"sisINTA"
"1304",-62.339378,-39.026253,1989-11-01,1.11888398161902,130,"sisINTA"
"1309",-62.396294,-39.140872,1989-11-01,1.59585507852679,150,"sisINTA"
"1310",-62.674864,-39.020836,1989-11-01,1.05656205403278,90,"sisINTA"
"1311",-62.452453,-38.900819,1989-11-01,0.836028414133149,100,"sisINTA"
"1314",-62.779456,-38.688872,1989-11-01,0.899357545328386,115,"sisINTA"
"1325",-62.469461,-38.982936,1989-11-01,0.624805725406423,90,"sisINTA"
"1327",-62.142578,-38.769381,1989-11-01,2.07995758264381,110,"sisINTA"
"1330",-59.158333,-34.944167,1966-10-24,1.9967817982905,84,"sisINTA"
"1337",-62.081203,-38.753744,1989-11-01,1,22,"sisINTA"
"1338",-62.037375,-38.75055,1989-11-01,1.43093258430018,105,"sisINTA"
"1339",-62.004481,-38.772672,1989-11-01,0.690765009756052,110,"sisINTA"
"1341",-62.011272,-38.841078,1989-11-01,1.61855000873696,140,"sisINTA"
"1344",-62.709797,-39.095294,1989-11-01,0.996428606654376,150,"sisINTA"
"1347",-62.020956,-38.713706,1989-12-01,0.563891521605889,110,"sisINTA"
"1349",-62.530039,-38.899939,1989-11-01,1.15584553163137,100,"sisINTA"
"1350",-62.737175,-39.124958,1989-11-01,0.839797327192056,100,"sisINTA"
"1352",-62.807042,-39.083028,1991-05-01,0.382431743206571,140,"sisINTA"
"1356",-62.618333,-39.393333,1995-01-01,0.556098375753146,60,"sisINTA"
"1357",-62.716442,-39.496522,1995-01-01,1.13050864802768,107,"sisINTA"
"1358",-59.649167,-34.583889,1966-03-25,1.11259332483774,75,"sisINTA"
"1359",-59.662222,-34.645278,1966-09-15,2.53132718395668,190,"sisINTA"
"1361",-62.625,-39.391667,2015-06-03,0.479818412754752,140,"sisINTA"
"1369",-62.99,-39.473889,2015-06-17,1.18715481160867,54,"sisINTA"
"1382",-58.938096,-34.644167,1967-09-19,1.3501573496935,113,"sisINTA"
"1394",-59.673056,-34.536111,1966-03-25,1.6775888951062,230,"sisINTA"
"1406",-61.207778,-35.061111,1987-06-19,1.82719487112101,100,"sisINTA"
"1423",-60.616111,-35.106944,1986-12-01,1.22009438724222,100,"sisINTA"
"1445",-60.828611,-35.303611,1986-12-20,0.0820129956239226,120,"sisINTA"
"1450",-60.691944,-35.254167,1986-12-01,2.12262271608252,120,"sisINTA"
"1459",-60.58402,-35.304073,1986-12-23,1.07729242183023,120,"sisINTA"
"1461",-63.96736,-22.872045,1990-07-15,2.25622670921403,163,"sisINTA"
"1467",-60.3775,-35.098889,1979-02-01,2.30704632475899,125,"sisINTA"
"1478",-64.366257,-23.03139,1990-07-15,1.6,20,"sisINTA"
"1491",-59.372934,-32.118537,1994-07-15,1.66406056237293,150,"sisINTA"
"1508",-56.59281,-27.530254,1982-03-19,0.977694798357245,126,"sisINTA"
"1509",-58.898292,-33.578304,1976-05-06,0.566298156861853,60,"sisINTA"
"1511",-58.89235,-33.577111,1977-02-10,1.95266811344752,83,"sisINTA"
